Loan_ID,Application_Date,City,Region,Age,Employment_Type,Income,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Percent,Credit_Score,Debt_To_Income_Ratio,Approval_Status,Default_Flag,Loan_Status,Customer_Rating,Risk_Category
LN102453,2023-08-13,Mumbai,West,43,Self-Employed,90322.0,980052.0,84,10.92,672.0,0.185,Approved,0,Active,4.1,Medium
LN100671,2024-11-26,Hyderabad,South,28,Salaried,32617.0,488350.0,54,9.99,698.0,0.345,Approved,0,Paid,4.6,Medium
LN100884,2024-03-07,Mumbai,West,34,Business,86468.0,,53,11.56,709.0,0.422,Rejected,0,Rejected,4.4,Medium
LN100618,2023-04-07,Mumbai,West,33,Self-Employed,110760.0,1298938.0,59,8.36,730.0,0.243,Approved,0,Active,5.0,Low
LN100344,2023-05-30,Mumbai,West,37,Salaried,141338.0,1627058.0,110,10.14,767.0,0.161,Approved,0,Active,4.5,Low
LN102326,2023-06-11,Mumbai,West,37,Self-Employed,80818.0,646619.0,107,12.17,630.0,0.123,Rejected,0,rejected,5.0,high
LN100554,2024-04-29,Mumbai,West,28,Business,94785.0,1348792.0,80,13.01,716.0,0.267,Approved,0,Active,5.0,Medium
LN101244,2023-10-02,Chennai,South,28,Business,56322.0,188752.0,61,9.79,597.0,0.07,Rejected,0,Rejected,5.0,High
LN100767,2024-05-28,delhi,North,30,Salaried,106360.0,938446.0,47,8.16,746.0,0.22,Approved,0,Active,4.5,Low
LN100779,2023-01-02,Hyderabad,South,34,Self-Employed,67117.0,889374.0,93,10.93,708.0,0.212,Rejected,0,Rejected,4.4,Medium
LN102256,2024-12-07,Delhi,North,31,Business,147116.0,1659907.0,83,10.27,705.0,0.19,Approved,0,Active,5.0,Medium
LN102534,2024-08-07,Delhi,North,33,Salaried,68391.0,300760.0,51,11.15,694.0,0.109,Rejected,0,Rejected,4.2,Medium
LN101736,2024-05-26,Chennai,South,38,Salaried,73238.0,330794.0,87,12.08,696.0,0.078,Approved,0,Active,5.0,Medium
LN100322,2024-02-09,Chennai,South,28,Salaried,105710.0,570605.0,43,9.34,790.0,0.148,Approved,0,Paid,4.5,Low
LN102996,2023-07-30,Hyderabad,South,30,Salaried,111044.0,1596753.0,40,11.62,718.0,0.435,Approved,0,Active,5.0,Medium
